risk_id,framework_id,framework,framework_role,item_id,item_name,match
MR-001,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-001,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-001,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-001,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-001,eu_ai_act,EU AI Act,source,Art. 10,Art. 10,clear
MR-001,eu_ai_act,EU AI Act,source,Art. 5(c),Art. 5(c),clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-data-bias,Data bias,clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-decision-bias,Decision bias,clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-discriminatory-actions,Discriminatory actions,clear
MR-001,nist_genai,NIST GenAI,crosscheck,GENAI.6,Harmful Bias or Homogenization,clear
MR-002,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-002,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-002,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-002,ibm_atlas,IBM,crosscheck,ibm-impact-on-cultural-diversity,Impact on cultural diversity,partial
MR-002,ibm_atlas,IBM,crosscheck,ibm-output-bias,Output bias,clear
MR-002,nist_genai,NIST GenAI,crosscheck,GENAI.6,Harmful Bias or Homogenization,clear
MR-003,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-003,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-003,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-003,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-003,ibm_atlas,IBM,crosscheck,ibm-spreading-toxicity,Spreading toxicity,clear
MR-003,ibm_atlas,IBM,crosscheck,ibm-toxic-output,Toxic output,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.11,Safety Harms and Toxicity: Profanity,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.3,Safety Harms and Toxicity: Animal Abuse,partial
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.6,Safety Harms and Toxicity: Environmental Harm,partial
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.8,Safety Harms and Toxicity: Harassment,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.9,Safety Harms and Toxicity: Hate Speech,clear
MR-003,nist_genai,NIST GenAI,crosscheck,GENAI.3,"Dangerous, Violent, or Hateful Content",clear
MR-004,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-004,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-004,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-004,cisco,Cisco,crosscheck,AISubtech-15.1.16,Safety Harms and Toxicity: Terrorism / Extremism,clear
MR-004,cisco,Cisco,crosscheck,AISubtech-15.1.17,Safety Harms and Toxicity: Violence and Public Safety Threat,clear
MR-004,nist_genai,NIST GenAI,crosscheck,GENAI.3,"Dangerous, Violent, or Hateful Content",clear
MR-005,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-005,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-005,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-005,cisco,Cisco,crosscheck,AISubtech-15.1.4,Safety Harms and Toxicity: Child Abuse / Exploitation,clear
MR-005,nist_genai,NIST GenAI,crosscheck,GENAI.11,"Obscene, Degrading, and/or Abusive Content",clear
MR-006,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-006,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-006,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-006,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-006,ibm_atlas,IBM,crosscheck,ibm-exclusion,Exclusion,partial
MR-007,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-007,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-007,ibm_atlas,IBM,crosscheck,ibm-harmful-output,Harmful output,partial
MR-007,cisco,Cisco,crosscheck,AISubtech-15.1.13,Safety Harms and Toxicity: Self Harm,clear
MR-007,nist_genai,NIST GenAI,crosscheck,GENAI.3,"Dangerous, Violent, or Hateful Content",clear
MR-008,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-008,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-008,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-008,cisco,Cisco,crosscheck,AISubtech-15.1.14,Safety Harms and Toxicity: Sexual Content and Exploitation,clear
MR-008,nist_genai,NIST GenAI,crosscheck,GENAI.11,"Obscene, Degrading, and/or Abusive Content",clear
MR-009,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-009,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-009,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-009,iso_42001,ISO 42001,source,A.7.5,ISO/IEC 42001 Annex A A.7.5,clear
MR-009,mitre_atlas,MITRE ATLAS,source,AML.T0057,LLM Data Leakage,sub
MR-009,mitre_atlas,MITRE ATLAS,source,AML.T0077,LLM Response Rendering,sub
MR-009,mitre_atlas,MITRE ATLAS,source,AML.T0085,Data from AI Services,sub
MR-009,mitre_atlas,MITRE ATLAS,source,AML.T0085.000,RAG Databases,sub
MR-009,mitre_atlas,MITRE ATLAS,source,AML.T0085.001,AI Agent Tools,sub
MR-009,ibm_atlas,IBM,crosscheck,ibm-exposing-personal-information,Exposing personal information,clear
MR-009,ibm_atlas,IBM,crosscheck,ibm-sharing-ip-pi-confidential-information-with-user,Sharing IP/PI/confidential information with user,clear
MR-009,cisco,Cisco,crosscheck,AISubtech-15.1.25,Privacy Attacks: PII / PHI / PCI,clear
MR-009,cisco,Cisco,crosscheck,AISubtech-8.2.1,Training Data Exposure,clear
MR-009,cisco,Cisco,crosscheck,AISubtech-8.2.2,LLM Data Leakage,clear
MR-009,nist_aml,NIST AML,crosscheck,NISTAML.03,Privacy Compromises,clear
MR-009,nist_aml,NIST AML,crosscheck,NISTAML.032,Reconstruction,partial
MR-009,nist_aml,NIST AML,crosscheck,NISTAML.036,Leaking information from user interactions,clear
MR-009,nist_aml,NIST AML,crosscheck,NISTAML.037,Training Data Attacks,clear
MR-009,nist_aml,NIST AML,crosscheck,NISTAML.038,Data Extraction,clear
MR-009,nist_genai,NIST GenAI,crosscheck,GENAI.4,Data Privacy,clear
MR-009,owasp_llm,OWASP LLM,crosscheck,LLM02:2025,Sensitive Information Disclosure,clear
MR-009,owasp_llm,OWASP LLM,crosscheck,LLM08:2025,Vector and Embedding Weaknesses,partial
MR-010,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-010,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-010,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0051,LLM Prompt Injection,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0051.000,Direct,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0051.001,Indirect,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0051.002,Triggered,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0054,LLM Jailbreak,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0061,LLM Prompt Self-Replication,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0067,LLM Trusted Output Components Manipulation,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0067.000,Citations,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0068,LLM Prompt Obfuscation,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0070,RAG Poisoning,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0071,False RAG Entry Injection,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0092,Manipulate User LLM Chat History,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0093,Prompt Infiltration via Public-Facing Application,sub
MR-010,mitre_atlas,MITRE ATLAS,source,AML.T0094,Delay Execution of LLM Instructions,sub
MR-010,ibm_atlas,IBM,crosscheck,ibm-context-overload-attack,Context overload attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-direct-instructions-attack,Direct instructions attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-encoded-interactions-attack,Encoded interactions attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-indirect-instructions-attack,Indirect instructions attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-jailbreaking,Jailbreaking,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-prompt-injection-attack,Prompt injection attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-prompt-priming,Prompt priming,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-social-hacking-attack,Social hacking attack,clear
MR-010,ibm_atlas,IBM,crosscheck,ibm-specialized-tokens-attack,Specialized tokens attack,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.1.1,Instruction Manipulation (Direct Prompt Injection),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.1.2,Obfuscation (Direct Prompt Injection),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.1.3,Multi-Agent Prompt Injection,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.2.1,Instruction Manipulation (Indirect Prompt Injection),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.2.2,Obfuscation (Indirect Prompt Injection),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.2.3,Multi-Agent (Indirect Prompt Injection),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.4.1,Image-Text Injection,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.4.2,Image Manipulation,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.4.3,Audio Command Injection,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-1.4.4,Video Overlay Manipulation,clear
MR-010,cisco,Cisco,crosscheck,AISubtech-19.1.1,Contradictory Inputs Attack,partial
MR-010,cisco,Cisco,crosscheck,AISubtech-19.1.2,Modality Skewing,partial
MR-010,cisco,Cisco,crosscheck,AISubtech-19.2.1,Convergence Payload Injection,partial
MR-010,cisco,Cisco,crosscheck,AISubtech-19.2.2,Chained Payload Execution,partial
MR-010,cisco,Cisco,crosscheck,AISubtech-2.1.1,Context Manipulation (Jailbreak),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-2.1.2,Obfuscation (Jailbreak),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-2.1.3,Semantic Manipulation (Jailbreak),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-2.1.4,Token Exploitation (Jailbreak),clear
MR-010,cisco,Cisco,crosscheck,AISubtech-2.1.5,Multi-Agent Jailbreak Collaboration,clear
MR-010,nist_aml,NIST AML,crosscheck,NISTAML.015,Indirect Prompt Injection,clear
MR-010,nist_aml,NIST AML,crosscheck,NISTAML.018,Prompt Injection,clear
MR-010,nist_aml,NIST AML,crosscheck,NISTAML.02,Integrity Violations,clear
MR-010,nist_aml,NIST AML,crosscheck,NISTAML.027,Misaligned Outputs,clear
MR-010,nist_aml,NIST AML,crosscheck,NISTAML.04,Misuse Violations,clear
MR-010,owasp_llm,OWASP LLM,crosscheck,LLM01:2025,Prompt Injection,clear
MR-010,owasp_llm,OWASP LLM,crosscheck,LLM08:2025,Vector and Embedding Weaknesses,partial
MR-010,owasp_asi,OWASP Agentic,crosscheck,ASI01,Agent Goal Hijack,clear
MR-010,owasp_asi,OWASP Agentic,crosscheck,ASI06,Memory and Context Poisoning,clear
MR-011,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-011,iso_42001,ISO 42001,source,A.7.3,ISO/IEC 42001 Annex A A.7.3,clear
MR-011,iso_42001,ISO 42001,source,A.7.5,ISO/IEC 42001 Annex A A.7.5,clear
MR-011,eu_ai_act,EU AI Act,source,Art. 10,Art. 10,clear
MR-011,eu_ai_act,EU AI Act,source,Art. 26(9),Art. 26(9),clear
MR-011,ibm_atlas,IBM,crosscheck,ibm-data-acquisition-restrictions,Data acquisition restrictions,partial
MR-011,ibm_atlas,IBM,crosscheck,ibm-data-privacy-rights-alignment,Data privacy rights alignment,clear
MR-011,ibm_atlas,IBM,crosscheck,ibm-data-transfer-restrictions,Data transfer restrictions,partial
MR-011,ibm_atlas,IBM,crosscheck,ibm-data-usage-restrictions,Data usage restrictions,partial
MR-011,ibm_atlas,IBM,crosscheck,ibm-personal-information-in-data,Personal information in data,clear
MR-011,ibm_atlas,IBM,crosscheck,ibm-personal-information-in-prompt,Personal information in prompt,clear
MR-011,nist_genai,NIST GenAI,crosscheck,GENAI.4,Data Privacy,clear
MR-012,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-012,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-012,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0015,Evade AI Model,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0031,Erode AI Model Integrity,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0041,Physical Environment Access,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043,Craft Adversarial Data,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043.000,White-Box Optimization,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043.001,Black-Box Optimization,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043.002,Black-Box Transfer,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043.003,Manual Modification,sub
MR-012,mitre_atlas,MITRE ATLAS,source,AML.T0043.004,Insert Backdoor Trigger,sub
MR-012,ibm_atlas,IBM,crosscheck,ibm-evasion-attack,Evasion attack,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.1.1,Agent-Specific Evasion,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.1.2,Tool-Scoped Evasion,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.1.3,Environment-Scoped Payloads,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.1.4,Defense-Aware Payloads,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.2.1,Targeted Model Fingerprinting,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-11.2.2,Conditional Attack Execution,clear
MR-012,cisco,Cisco,crosscheck,AISubtech-17.1.1,"Sensor Spoofing: Action Signals (audio, visual)",partial
MR-012,nist_aml,NIST AML,crosscheck,NISTAML.02,Integrity Violations,clear
MR-012,nist_aml,NIST AML,crosscheck,NISTAML.022,Evasion,clear
MR-012,nist_aml,NIST AML,crosscheck,NISTAML.025,Black-box Evasion,clear
MR-013,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-013,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-013,iso_42001,ISO 42001,source,A.7.2,ISO/IEC 42001 Annex A A.7.2,clear
MR-013,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-013,mitre_atlas,MITRE ATLAS,source,AML.T0025,Exfiltration via Cyber Means,sub
MR-013,mitre_atlas,MITRE ATLAS,source,AML.T0056,Extract LLM System Prompt,sub
MR-013,ibm_atlas,IBM,crosscheck,ibm-confidential-data-in-prompt,Confidential data in prompt,clear
MR-013,ibm_atlas,IBM,crosscheck,ibm-confidential-information-in-data,Confidential information in data,clear
MR-013,ibm_atlas,IBM,crosscheck,ibm-ip-information-in-prompt,IP information in prompt,partial
MR-013,ibm_atlas,IBM,crosscheck,ibm-prompt-leaking,Prompt leaking,clear
MR-013,ibm_atlas,IBM,crosscheck,ibm-revealing-confidential-information,Revealing confidential information,clear
MR-013,ibm_atlas,IBM,crosscheck,ibm-sharing-ip-pi-confidential-information-with-tools,Sharing IP/PI/confidential information with tools,clear
MR-013,cisco,Cisco,crosscheck,AISubtech-14.1.1,Credential Theft,partial
MR-013,cisco,Cisco,crosscheck,AISubtech-15.1.24,Intellectual Property Compromise: Confidential Data,clear
MR-013,cisco,Cisco,crosscheck,AISubtech-7.4.1,Token Theft,partial
MR-013,cisco,Cisco,crosscheck,AISubtech-8.3.1,Tool Metadata Exposure,clear
MR-013,cisco,Cisco,crosscheck,AISubtech-8.3.2,System Information Leakage,clear
MR-013,cisco,Cisco,crosscheck,AISubtech-8.4.1,System LLM Prompt Leakage,clear
MR-013,nist_aml,NIST AML,crosscheck,NISTAML.035,Prompt Extraction,clear
MR-013,owasp_llm,OWASP LLM,crosscheck,LLM02:2025,Sensitive Information Disclosure,clear
MR-013,owasp_llm,OWASP LLM,crosscheck,LLM07:2025,System Prompt Leakage,clear
MR-014,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-014,iso_42001,ISO 42001,source,A.7.3,ISO/IEC 42001 Annex A A.7.3,clear
MR-014,iso_42001,ISO 42001,source,A.7.5,ISO/IEC 42001 Annex A A.7.5,clear
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0018,Manipulate AI Model,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0018.000,Poison AI Model,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0018.001,Modify AI Model Architecture,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0018.002,Embed Malware,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0019,Publish Poisoned Datasets,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0020,Poison Training Data,sub
MR-014,mitre_atlas,MITRE ATLAS,source,AML.T0059,Erode Dataset Integrity,sub
MR-014,ibm_atlas,IBM,crosscheck,ibm-data-poisoning,Data poisoning,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-6.1.1,Knowledge Base Poisoning,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-6.1.2,Reinforcement Biasing,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-6.1.3,Reinforcement Signal Corruption,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-7.3.1,Corrupted Third-Party Data,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-9.2.1,Obfuscation Vulnerabilities,clear
MR-014,cisco,Cisco,crosscheck,AISubtech-9.2.2,Backdoors and Trojans,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.011,Model Poisoning (availability),clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.012,Clean-label Poisoning,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.013,Data Poisoning,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.02,Integrity Violations,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.021,Clean-label Backdoor,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.023,Backdoor Poisoning,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.024,Targeted Poisoning,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.026,Model Poisoning (integrity),clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.05,Supply Chain Attacks,clear
MR-014,nist_aml,NIST AML,crosscheck,NISTAML.051,Model Poisoning (supply chain),clear
MR-014,owasp_llm,OWASP LLM,crosscheck,LLM04:2025,Data and Model Poisoning,clear
MR-015,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-015,iso_42001,ISO 42001,source,A.4.5,ISO/IEC 42001 Annex A A.4.5,clear
MR-015,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-015,eu_ai_act,EU AI Act,source,Art. 15,Art. 15,clear
MR-015,eu_ai_act,EU AI Act,source,CoP S&S Ch. Commitment 6,CoP S&S Ch. Commitment 6,clear
MR-015,mitre_atlas,MITRE ATLAS,source,AML.T0012,Valid Accounts,sub
MR-015,mitre_atlas,MITRE ATLAS,source,AML.T0029,Denial of AI Service,sub
