canonical_risk_id,row_type,name,description,risk_family,mit_domain,mit_subdomain,ai_type,scope_class,source_standard,source_frameworks,source_count,iso_references,eu_ai_act_articles,eu_cop_references,nearest_mit_risk,related_frameworks,parent_risk_id,atlas_technique_id,atlas_technique_name
MR-001,Risk,Biased or discriminatory outputs and decisions,"The system produces unfair or discriminatory outputs or decisions (e.g. in hiring, lending, services) that disadvantage individuals or groups, often from biased training data.",Model & system behaviour,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,"GPAI, Agentic, Classical_ML",Both,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Critch2023 | Cui2024 | G'sell2024 | GOS2023 | Giarmoleo2024 | Gipiškis2024 | Habbal2024 | Hogenhout2021 | Kumar2023 | Li2025 | Liu2024 | Meek2016 | Paes2023 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Shelby2023 | Sherman2023 | Stanley2024 | Steimers2022 | Sun2023 | TC2602024 | Teixeira2022 | Uuk2025 | Weidinger2021 | Weidinger2022 | Wirtz2020 | Wirtz2022 | Zeng2024 | Zhang2023,32,"23894 obj A.6; src 6, 7; mech B.5 | 42001 ctrl A.5.4, A.7.4, A.6.2.4",Art. 10 | Art. 5(c),,,EU AI Act 2024/1689 + GPAI Code of Practice | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-002,Risk,Stereotyping and representational harm,"The system reproduces demeaning stereotypes, mis/under-represents groups, or erases or appropriates cultural identity in its outputs.",Model & system behaviour,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Bengio2024 | Bengio2025 | Cui2024 | Deng2023 | G'sell2024 | GOS2023 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Hagendorff2024 | IBM2025 | InfoComm2023 | Leech2024 | Li2025 | Liu2024 | Maham2023 | Paes2023 | Shelby2023 | Solaiman2023 | Tan2022 | Vidgen2024 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Zeng2024 | Zhang2022,28,"23894 obj A.6; src 6; mech B.5 | 42001 ctrl A.5.4, A.7.4",,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-003,Risk,"Toxic, hateful, or harassing content generation","The system generates hateful, abusive, profane, harassing, or otherwise offensive content.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Cui2024 | Deng2023 | Ghosh2024 | Gipiškis2024 | Hagendorff2024 | InfoComm2023 | Li2025 | Liu2024 | Solaiman2023 | Stanley2024 | Sun2023 | Vidgen2024 | Wang2025 | Zeng2024 | Zhang2023,17,"23894 obj A.6, A.10; src 6, 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-004,Risk,Violent or extremist content generation,"The system generates content that incites, glorifies, or facilitates violence, terrorism, or extremism.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Coghlan2023 | Critch2023 | DSIT2023 | Deng2023 | Gipiškis2024 | IBM2025 | InfoComm2023 | Li2025 | Liu2024 | Shelby2023 | Stanley2024 | TC2602024 | Uuk2025 | Vidgen2024 | Zeng2024,16,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-005,Risk,Child sexual abuse material and child-safety harm,The system generates or facilitates child sexual abuse material (CSAM) or other sexual/abusive harm to minors.,Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Bengio2025 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Liu2024 | Marchal2024 | NIST2024 | Vidgen2024 | Weidinger2023 | Zeng2024,10,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-006,Risk,Disparate performance across groups and languages,"The system performs measurably worse for some demographic groups, dialects, or languages, degrading service quality for those users.",Model & system behaviour,1. Discrimination & Toxicity,1.3 > Unequal performance across groups,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,IBM2025 | Li2025 | Liu2024 | NIST2024 | Shelby2023 | Solaiman2023 | Weidinger2021 | Weidinger2022 | Weidinger2023,9,"23894 obj A.6, A.9; src 6; mech B.5 | 42001 ctrl A.7.4, A.6.2.4",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-007,Risk,"Self-harm, suicide and dangerous-behavior promotion","The system produces content that encourages or enables suicide, self-harm, eating disorders, or other dangerous behaviors.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Ghosh2024 | Gipiškis2024 | Li2025 | Stanley2024 | Sun2023 | Vidgen2024 | Zeng2024,8,23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4,,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-008,Risk,Sexual content and non-consensual intimate imagery,"The system generates sexual or adult content, or non-consensual intimate imagery, in inappropriate contexts.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Cui2024 | Ghosh2024 | Gipiškis2024 | IBM2025 | InfoComm2023 | Liu2024 | Vidgen2024 | Zeng2024,8,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-009,Risk,Leakage of personal or sensitive data,"The system memorizes and discloses personal or sensitive data in its outputs, or such data is extracted via inference/extraction attacks, as distinct from the lawful basis for collecting or processing that data (MR-011).","Data, privacy & content liability",2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Bengio2024 | Cui2024 | Deng2023 | G'sell2024 | Gabriel2024 | Giarmoleo2024 | Gipiškis2024 | Habbal2024 | Hagendorff2024 | Hammond2025 | Hogenhout2021 | IBM2025 | InfoComm2023 | Li2025 | Liu2024 | Maham2023 | Marchal2024 | NIST2024 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Sherman2023 | Stanley2024 | Steimers2022 | TC2602024 | Tan2022 | Vidgen2024 | Wang2025 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Wirtz2022 | Zeng2024 | Zhang2023,34,"23894 obj A.8; src 6; mech B.5 | 42001 ctrl A.7.4, A.7.5, A.5.4",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-009.1,Sub-risk,Prompt-induced leakage of sensitive data,"Crafted prompts induce the model to reveal sensitive data from its training set, context, or memory.","Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-009,AML.T0057,LLM Data Leakage
MR-009.2,Sub-risk,Data exfiltration via rendered output,The model is induced to emit private data through rendered elements such as markdown images or links that call out to an attacker.,"Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-009,AML.T0077,LLM Response Rendering
MR-009.3,Sub-risk,Harvesting data from AI-enabled services,Access to the deployer's AI services is used to collect the data those services hold.,"Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-009,AML.T0085,Data from AI Services
MR-010,Risk,Prompt injection and jailbreaking,"Adversarial inputs (prompt injection, jailbreaks, goal hijacking, prompt leaking) bypass instructions or safety controls.",Security & adversarial,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"GPAI, Agentic",System,MIT AI Risk Repository v4,Anwar2024 | Cui2024 | G'sell2024 | Gabriel2024 | Gipiškis2024 | Hagendorff2024 | IBM2025 | Marchal2024 | Nah2023 | Sun2023 | Wang2025,11,"23894 obj A.11; src 7; mech B.5 | 42001 ctrl A.6.2.4, A.6.2.6",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | OWASP Top 10 for Agentic Applications 2026 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-010.1,Sub-risk,Prompt injection of the deployed LLM,Malicious instructions in user input or retrieved content cause the LLM to ignore its intended task and act on the attacker's instructions.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0051,LLM Prompt Injection
MR-010.2,Sub-risk,Jailbreak and safety-guardrail bypass,"Crafted inputs make the model ignore, circumvent, or override its safety restrictions.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0054,LLM Jailbreak
MR-010.3,Sub-risk,Self-replicating prompt injection,"A prompt-injection payload is crafted to copy itself onward, spreading across messages, documents, or agents.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0061,LLM Prompt Self-Replication
MR-010.4,Sub-risk,Manipulation of trusted output components,"Prompts cause the model to manipulate citations, links, or UI components users trust, masking malicious content.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0067,LLM Trusted Output Components Manipulation
MR-010.5,Sub-risk,Obfuscated prompt injection evading filters,Injected instructions are encoded or hidden so they evade input and content filters.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0068,LLM Prompt Obfuscation
MR-010.6,Sub-risk,Retrieval-augmented generation (RAG) poisoning,"Malicious content is injected into the knowledge base a RAG system retrieves from, steering answers and actions.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0070,RAG Poisoning
MR-010.7,Sub-risk,False RAG entry injection,Fabricated entries are introduced into the retrieval store so the model surfaces attacker-controlled information.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0071,False RAG Entry Injection
MR-010.8,Sub-risk,Tampering with user chat history,An attacker alters the conversation history the model relies on to cover tracks or steer behavior.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0092,Manipulate User LLM Chat History
MR-010.9,Sub-risk,Indirect prompt injection via a public-facing surface,"Malicious prompts are planted in content the system ingests (web pages, documents, tickets) and execute when processed.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0093,Prompt Infiltration via Public-Facing Application
MR-010.10,Sub-risk,Delayed or triggered prompt instructions,Injected instructions lie dormant and execute on a later trigger or future interaction.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-010,AML.T0094,Delay Execution of LLM Instructions
MR-011,Risk,Unlawful or non-consensual collection and processing of personal data,"Personal data is collected or processed (e.g. via scraping, secondary use, or without consent) in violation of privacy law and expectations, as distinct from that data later leaking in outputs (MR-009).","Data, privacy & content liability",2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,"GPAI, Classical_ML",Both,MIT AI Risk Repository v4,Abercrombie2024 | EPIC2023 | Gabriel2024 | IBM2025 | Kumar2023 | Li2025 | Solaiman2023 | TC2602024 | Teixeira2022 | Weidinger2023,10,"23894 obj A.8; src 6; mech B.5 | 42001 ctrl A.7.3, A.7.5",Art. 10 | Art. 26(9),,,EU AI Act 2024/1689 + GPAI Code of Practice | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-012,Risk,Adversarial examples and evasion attacks,Crafted input perturbations cause the model to misclassify or behave incorrectly (evasion/adversarial-example attacks).,Security & adversarial,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"Classical_ML, GPAI",System,MIT AI Risk Repository v4,Cui2024 | Everitt2018 | Gipiškis2024 | IBM2025 | Liu2024 | Marchal2024 | TC2602024 | Uuk2025 | Zhang2022,9,"23894 obj A.11, A.9; src 6, 7; mech B.5 | 42001 ctrl A.6.2.4",,,,MITRE ATLAS v5.6.0 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-012.1,Sub-risk,Model evasion via adversarial input,"Inputs are crafted so the model misclassifies or fails to detect what it should, defeating its purpose.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-012,AML.T0015,Evade AI Model
MR-012.2,Sub-risk,Integrity erosion via adversarial inputs,A stream of adversarial inputs degrades the model's accuracy and trustworthiness over time.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-012,AML.T0031,Erode AI Model Integrity
MR-012.3,Sub-risk,Physical-world adversarial manipulation,"Physical artifacts (markings, objects, signals) are altered to fool perception models in the real world.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-012,AML.T0041,Physical Environment Access
MR-012.4,Sub-risk,Crafted adversarial data,Perturbed inputs are engineered to induce incorrect or attacker-chosen model outputs.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-012,AML.T0043,Craft Adversarial Data
MR-013,Risk,Disclosure of confidential or proprietary information,"Confidential, proprietary, or trade-secret information (organizational or third-party secrets, as distinct from personal data covered by MR-009 and MR-011) is leaked through user prompts, model outputs, or system-prompt extraction.","Data, privacy & content liability",2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,"GPAI, Agentic",Both,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Cunha2023 | EPIC2023 | IBM2025 | Li2025 | NIST2024 | Nah2023 | Zeng2024,9,"23894 obj A.8, A.11; src 6, 10; mech B.5 | 42001 ctrl A.7.2, A.8.2",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-013.1,Sub-risk,Exfiltration of AI artifacts via cyber means,"Models, data, or other AI artifacts are exfiltrated using conventional intrusion techniques.","Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-013,AML.T0025,Exfiltration via Cyber Means
MR-013.2,Sub-risk,System-prompt and instruction extraction,"Attackers extract the system prompt and hidden instructions, exposing proprietary logic and guardrails.","Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-013,AML.T0056,Extract LLM System Prompt
MR-014,Risk,Data and model poisoning and backdoors,Adversaries corrupt training/fine-tuning data or implant backdoors/trojans that alter model behavior under triggers.,Security & adversarial,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"GPAI, Classical_ML, Agentic",System,MIT AI Risk Repository v4,Cui2024 | Gipiškis2024 | Hammond2025 | IBM2025 | Liu2024 | Marchal2024 | Schnitzer2024 | TC2602024 | Tang2025,9,"23894 obj A.11; src 6, 10; mech B.5 | 42001 ctrl A.7.3, A.7.5",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-014.1,Sub-risk,Direct model manipulation and backdoor insertion,The model is altered directly to change its behavior or embed a hidden backdoor trigger.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-014,AML.T0018,Manipulate AI Model
MR-014.2,Sub-risk,Poisoned datasets published for ingestion,Poisoned datasets are placed where the deployer is likely to collect and train on them.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-014,AML.T0019,Publish Poisoned Datasets
MR-014.3,Sub-risk,Training-data poisoning,Adversaries modify training or fine-tuning data to degrade the model or implant chosen behavior.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-014,AML.T0020,Poison Training Data
MR-014.4,Sub-risk,Dataset integrity erosion,Portions of a dataset are poisoned or altered to reduce its usefulness and reliability.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-014,AML.T0059,Erode Dataset Integrity
MR-015,Risk,Residual AI system security and availability weaknesses,"The system is broadly vulnerable to attack or disruption, including denial-of-service and resource-exhaustion (sponge) attacks.",Security & adversarial,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"GPAI, Classical_ML, Agentic",System,MIT AI Risk Repository v4,Cui2024 | Gipiškis2024 | Habbal2024 | Saghiri2022 | Tan2022 | Wang2025 | Wirtz2022 | Zeng2024,8,"23894 obj A.11; src 9; mech B.6 | 42001 ctrl A.6.2.4, A.4.5",Art. 15,S&S Ch. Commitment 6,,EU AI Act 2024/1689 + GPAI Code of Practice | OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | OWASP Top 10 for Agentic Applications 2026 | NIST AI 100-2 Adversarial Machine Learning | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-015.1,Sub-risk,Abuse of valid accounts against the AI system,Stolen or abused legitimate credentials grant access to the AI system and its data.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0012,Valid Accounts
MR-015.2,Sub-risk,Denial of AI service,The AI service is flooded with requests to degrade or deny availability to legitimate users.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0029,Denial of AI Service
MR-015.3,Sub-risk,Cost harvesting (denial of wallet),Adversaries deliberately drive the AI service beyond normal load to inflate operating cost.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0034,Cost Harvesting
MR-015.4,Sub-risk,Chaff-data flooding of the AI system,The system is spammed with inputs that inflate false detections and overwhelm downstream review.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0046,Spamming AI System with Chaff Data
MR-015.5,Sub-risk,Downstream external harms from a compromised AI system,"A compromised AI system is abused to cause financial, reputational, user, or societal harm beyond the system itself.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0048,External Harms
MR-015.6,Sub-risk,Exploitation of the public-facing AI application,A weakness in the internet-facing AI application is exploited to gain access.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0049,Exploit Public-Facing Application
MR-015.7,Sub-risk,Drive-by compromise of AI system users,Users are compromised by visiting attacker-influenced content during normal AI system use.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0078,Drive-by Compromise
MR-015.8,Sub-risk,Container or sandbox escape from the AI environment,An attacker breaks out of the AI system's container or sandbox to reach the host.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0105,Escape to Host
MR-015.9,Sub-risk,Machine compromise via AI components,AI-enabled components are exploited or manipulated to compromise the underlying machine.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-015,AML.T0112,Machine Compromise
MR-016,Risk,"Model theft, extraction and weight leakage","Model weights or behavior are stolen via extraction attacks or leaked, causing IP loss and loss of control over the model.",Security & adversarial,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Cui2024 | Gabriel2024 | Gipiškis2024 | IBM2025 | Marchal2024 | Sherman2023 | Wang2025,7,"23894 obj A.11; src 7, 9; mech B.6 | 42001 ctrl A.4.5",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-016.1,Sub-risk,Model or data extraction via the inference API,Repeated API queries are used to reconstruct the model or recover its training data.,Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-016,AML.T0024,Exfiltration via AI Inference API
MR-016.2,Sub-risk,Collection of AI artifacts for exfiltration,"Models, weights, and related artifacts are gathered on the victim system in preparation for theft.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-016,AML.T0035,AI Artifact Collection
MR-016.3,Sub-risk,White-box model access enabling theft,"Adversaries obtain full access to model weights and architecture, enabling theft and tailored attacks.",Security & adversarial,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-016,AML.T0044,Full AI Model Access
MR-017,Risk,Privacy-invasive inference and re-identification,"The system infers sensitive attributes about, or re-identifies, individuals beyond what was explicitly provided.","Data, privacy & content liability",2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Bengio2025 | DSIT2023 | Gabriel2024 | IBM2025 | Li2025 | Weidinger2023,6,"23894 obj A.8; src 6; mech B.5 | 42001 ctrl A.5.4, A.7.5",,,,NIST AI 600-1 Generative AI Profile | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-018,Risk,AI supply-chain and infrastructure vulnerabilities,"Vulnerabilities in AI frameworks, dependencies, hardware, or reused third-party/foundation models propagate risk to the deployed system.",Third party & supply chain,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,"GPAI, Classical_ML, Agentic",Both,MIT AI Risk Repository v4,Cui2024 | NIST2024 | Sharma2024 | TC2602024 | Uuk2025,5,"23894 obj A.11; src 9, 10; mech B.6 | 42001 ctrl A.10.3, A.4.4",,S&S Ch. Commitment 6,,EU AI Act 2024/1689 + GPAI Code of Practice | OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | OWASP Top 10 for Agentic Applications 2026 | NIST AI 100-2 Adversarial Machine Learning | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-018.1,Sub-risk,AI supply-chain compromise,"A compromised model, dataset, library, or hardware component enters the system through the supply chain.",Third party & supply chain,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-018,AML.T0010,AI Supply Chain Compromise
MR-018.2,Sub-risk,Poisoned models published to registries,A backdoored or poisoned model is published to a public registry to be adopted by victims.,Third party & supply chain,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-018,AML.T0058,Publish Poisoned Models
MR-018.3,Sub-risk,Hallucinated-entity (slopsquatting) supply-chain attack,"Adversaries register packages or resources matching names the model commonly hallucinates, so its recommendations deliver malicious artifacts.",Third party & supply chain,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-018,AML.T0060,Publish Hallucinated Entities
MR-018.4,Sub-risk,Masquerading of malicious AI artifacts,Malicious models or files are disguised to appear legitimate and trusted.,Third party & supply chain,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-018,AML.T0074,Masquerading
MR-018.5,Sub-risk,Corrupted model file evading scanning,A malicious model file is deliberately corrupted so security scanners cannot inspect it.,Third party & supply chain,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-018,AML.T0076,Corrupt AI Model
